2017-11-05 00:00:08, with, /
2017-11-05 00:35:59, 22.2, 51.5
2017-11-05 00:36:14, 22.2, 51.5
2017-11-05 00:36:29, 22.2, 51.5
2017-11-05 00:36:44, 22.2, 51.5
2017-11-05 00:37:00, 22.2, 51.5
2017-11-05 00:37:15, 22.2, 51.5
2017-11-05 00:37:30, 22.2, 51.5
2017-11-05 00:37:45, 22.2, 51.5
2017-11-05 00:38:00, 22.2, 51.6
2017-11-05 00:38:22, 22.2, 51.6
2017-11-05 00:38:37, 22.2, 51.6
2017-11-05 00:38:52, 22.2, 51.6
2017-11-05 00:39:08, 22.2, 51.6
2017-11-05 00:39:23, 22.2, 51.6
2017-11-05 00:39:38, 22.2, 51.6
2017-11-05 00:39:53, 22.2, 51.6
2017-11-05 00:40:08, 22.2, 51.6
2017-11-05 00:40:24, 22.2, 51.7
2017-11-05 00:40:39, 22.2, 51.6
2017-11-05 00:40:54, 22.2, 51.7
2017-11-05 00:41:09, 22.2, 51.7
2017-11-05 00:41:24, 22.2, 51.7
2017-11-05 00:41:39, 22.2, 51.7
2017-11-05 00:41:55, 22.2, 51.7
2017-11-05 00:42:10, 22.2, 51.7
2017-11-05 00:42:25, 22.2, 51.8
2017-11-05 00:42:40, 22.2, 51.8
2017-11-05 00:42:55, 22.2, 51.8
2017-11-05 00:43:11, 22.2, 51.8
2017-11-05 00:43:26, 22.1, 51.8
2017-11-05 00:43:41, 22.2, 51.8
2017-11-05 00:43:56, 22.2, 51.8
2017-11-05 00:44:11, 22.1, 51.8
2017-11-05 00:44:26, 22.1, 51.9
2017-11-05 00:44:42, 22.1, 51.9
2017-11-05 00:44:57, 22.1, 51.9
2017-11-05 00:45:12, 22.1, 51.9
2017-11-05 00:45:27, 22.1, 51.9
2017-11-05 00:45:42, 22.1, 51.9
2017-11-05 00:45:57, 22.1, 51.9
2017-11-05 00:46:13, 22.1, 52.0
2017-11-05 00:46:28, 22.1, 52.0
2017-11-05 00:46:43, 22.1, 52.0
2017-11-05 00:46:58, 22.1, 52.0
2017-11-05 00:47:20, 22.1, 52.0
2017-11-05 00:47:35, 22.1, 52.0
2017-11-05 00:47:50, 22.1, 52.1
2017-11-05 00:48:05, 22.1, 52.0
2017-11-05 00:48:21, 22.1, 52.1
2017-11-05 00:48:36, 22.1, 52.1
2017-11-05 00:48:51, 22.1, 52.1
2017-11-05 00:49:06, 22.1, 52.1
2017-11-05 00:49:21, 22.1, 52.1
2017-11-05 00:49:37, 22.1, 52.1
2017-11-05 00:49:52, 22.1, 52.1
2017-11-05 00:50:07, 22.1, 52.1
2017-11-05 00:50:22, 22.1, 52.1
2017-11-05 00:50:37, 22.1, 52.1
2017-11-05 00:50:52, 22.1, 52.2
2017-11-05 00:51:08, 22.1, 52.2
2017-11-05 00:51:23, 22.1, 52.2
2017-11-05 00:51:38, 22.1, 52.2
2017-11-05 00:51:53, 22.1, 52.2
2017-11-05 00:52:08, 22.1, 52.2
2017-11-05 00:52:24, 22.1, 52.2
2017-11-05 00:52:39, 22.1, 52.2
2017-11-05 00:52:54, 22.1, 52.2
2017-11-05 00:53:09, 22.1, 52.2
2017-11-05 00:53:24, 22.1, 52.2
2017-11-05 00:53:40, 22.1, 52.2
2017-11-05 00:53:55, 22.1, 52.3
2017-11-05 00:54:10, 22.1, 52.3
2017-11-05 00:54:25, 22.1, 52.3
2017-11-05 00:54:40, 22.1, 52.3
2017-11-05 00:55:04, 22.1, 52.3
2017-11-05 00:55:19, 22.1, 52.3
2017-11-05 00:55:34, 22.1, 52.3
2017-11-05 00:55:49, 22.1, 52.3
2017-11-05 00:56:05, 22.1, 52.3
2017-11-05 00:56:20, 22.1, 52.4
2017-11-05 00:56:35, 22.1, 52.4
2017-11-05 00:56:50, 22.1, 52.4
2017-11-05 00:57:05, 22.1, 52.4
2017-11-05 00:57:21, 22.1, 52.4
2017-11-05 00:57:36, 22.1, 52.4
2017-11-05 00:57:51, 22.1, 52.4
2017-11-05 00:58:06, 22.2, 52.4
2017-11-05 00:58:21, 22.1, 52.4
2017-11-05 00:58:37, 22.1, 52.4
2017-11-05 00:58:52, 22.1, 52.4
2017-11-05 00:59:07, 22.1, 52.4
2017-11-05 00:59:22, 22.1, 52.5
2017-11-05 00:59:37, 22.1, 52.5
2017-11-05 00:59:52, 22.1, 52.5
2017-11-05 01:00:08, 22.1, 52.5
2017-11-05 01:00:23, 22.2, 52.5
2017-11-05 01:00:38, 22.1, 52.5
2017-11-05 01:00:53, 22.1, 52.5
2017-11-05 01:01:08, 22.1, 52.5
2017-11-05 01:01:24, 22.1, 52.5
2017-11-05 01:01:39, 22.1, 52.5
2017-11-05 01:01:54, 22.1, 52.5
2017-11-05 01:02:09, 22.1, 52.5
2017-11-05 01:02:24, 22.1, 52.5
2017-11-05 01:02:40, 22.1, 52.6
2017-11-05 01:02:55, 22.1, 52.6
2017-11-05 01:03:10, 22.2, 52.5
2017-11-05 01:03:25, 22.2, 52.6
2017-11-05 01:03:40, 22.1, 52.6
2017-11-05 01:03:56, 22.2, 52.6
2017-11-05 01:04:18, 22.1, 52.6
2017-11-05 01:04:33, 22.2, 52.6
2017-11-05 01:04:48, 22.2, 52.6
2017-11-05 01:05:03, 22.1, 52.6
2017-11-05 01:05:18, 22.1, 52.6
2017-11-05 01:05:40, 22.1, 52.7
2017-11-05 01:05:55, 22.1, 52.6
2017-11-05 01:06:11, 22.1, 52.7
2017-11-05 01:06:26, 22.1, 52.7
2017-11-05 01:06:41, 22.1, 52.7
2017-11-05 01:06:56, 22.1, 52.7
2017-11-05 01:07:11, 22.1, 52.7
2017-11-05 01:07:27, 22.1, 52.7
2017-11-05 01:07:42, 22.1, 52.7
2017-11-05 01:07:57, 22.1, 52.8
2017-11-05 01:08:12, 22.1, 52.8
2017-11-05 01:08:27, 22.1, 52.7
2017-11-05 01:08:42, 22.1, 52.8
2017-11-05 01:08:58, 22.1, 52.8
2017-11-05 01:09:13, 22.1, 52.8
2017-11-05 01:09:28, 22.1, 52.8
2017-11-05 01:09:43, 22.1, 52.8
2017-11-05 01:09:58, 22.1, 52.8
2017-11-05 01:10:14, 22.1, 52.8
2017-11-05 01:10:29, 22.1, 52.8
2017-11-05 01:10:44, 22.1, 52.9
2017-11-05 01:10:59, 22.1, 52.9
2017-11-05 01:11:14, 22.1, 52.9
2017-11-05 01:11:30, 22.1, 52.9
2017-11-05 01:11:45, 22.1, 52.9
2017-11-05 01:12:00, 22.1, 52.9
2017-11-05 01:12:15, 22.1, 52.9
2017-11-05 01:12:30, 22.1, 52.9
2017-11-05 01:12:45, 22.1, 52.9
2017-11-05 01:13:01, 22.1, 53.0
2017-11-05 01:13:16, 22.1, 53.0
2017-11-05 01:13:31, 22.1, 53.0
2017-11-05 01:13:46, 22.1, 53.0
2017-11-05 01:14:01, 22.1, 53.0
2017-11-05 01:14:17, 22.1, 53.0
2017-11-05 01:14:32, 22.1, 53.0
2017-11-05 01:14:47, 22.1, 53.1
2017-11-05 01:15:02, 22.1, 53.0
2017-11-05 01:15:17, 22.1, 53.1
2017-11-05 01:15:33, 22.1, 53.1
2017-11-05 01:15:48, 22.1, 53.1
2017-11-05 01:16:03, 22.1, 53.1
2017-11-05 01:16:18, 22.1, 53.1
2017-11-05 01:16:33, 22.1, 53.1
2017-11-05 01:16:48, 22.1, 53.1
2017-11-05 01:17:04, 22.1, 53.1
2017-11-05 01:17:19, 22.1, 53.1
2017-11-05 01:17:34, 22.1, 53.1
2017-11-05 01:17:49, 22.1, 53.1
2017-11-05 01:18:04, 22.1, 53.1
2017-11-05 01:18:20, 22.1, 53.1
2017-11-05 01:18:35, 22.1, 53.1
2017-11-05 01:18:50, 22.1, 53.1
2017-11-05 01:19:05, 22.1, 53.1
2017-11-05 01:19:20, 22.1, 53.1
2017-11-05 01:19:35, 22.1, 53.0
2017-11-05 01:19:51, 22.1, 53.0
2017-11-05 01:20:06, 22.1, 53.0
2017-11-05 01:20:21, 22.1, 53.0
2017-11-05 01:20:36, 22.1, 53.0
2017-11-05 01:20:51, 22.1, 53.0
2017-11-05 01:21:07, 22.1, 53.0
2017-11-05 01:21:22, 22.1, 53.0
2017-11-05 01:21:37, 22.1, 53.0
2017-11-05 01:21:52, 22.1, 52.9
2017-11-05 01:22:14, 22.1, 52.9
2017-11-05 01:22:29, 22.1, 52.9
2017-11-05 01:22:45, 22.1, 52.9
2017-11-05 01:23:00, 22.1, 52.8
2017-11-05 01:23:15, 22.1, 52.8
2017-11-05 01:23:30, 22.1, 52.8
2017-11-05 01:23:45, 22.1, 52.8
2017-11-05 01:24:00, 22.1, 52.8
2017-11-05 01:24:22, 22.1, 52.7
2017-11-05 01:24:38, 22.1, 52.7
2017-11-05 01:24:53, 22.1, 52.7
2017-11-05 01:25:08, 22.1, 52.7
2017-11-05 01:25:23, 22.1, 52.7
2017-11-05 01:25:38, 22.1, 52.6
2017-11-05 01:25:53, 22.1, 52.7
2017-11-05 01:26:09, 22.1, 52.6
2017-11-05 01:26:24, 22.1, 52.6
2017-11-05 01:26:39, 22.1, 52.6
2017-11-05 01:26:54, 22.1, 52.6
2017-11-05 01:27:09, 22.1, 52.6
2017-11-05 01:27:25, 22.1, 52.6
2017-11-05 01:27:40, 22.1, 52.5
2017-11-05 01:27:55, 22.1, 52.5
2017-11-05 01:28:10, 22.1, 52.5
2017-11-05 01:28:25, 22.1, 52.5
2017-11-05 01:28:40, 22.1, 52.5
2017-11-05 01:28:56, 22.1, 52.4
2017-11-05 01:29:11, 22.1, 52.5
2017-11-05 01:29:26, 22.1, 52.5
2017-11-05 01:29:41, 22.1, 52.4
2017-11-05 01:29:56, 22.1, 52.4
2017-11-05 01:30:12, 22.1, 52.4
2017-11-05 01:30:27, 22.1, 52.4
2017-11-05 01:30:42, 22.1, 52.4
2017-11-05 01:30:57, 22.1, 52.4
2017-11-05 01:31:12, 22.1, 52.4
2017-11-05 01:31:27, 22.1, 52.4
2017-11-05 01:31:43, 22.1, 52.3
2017-11-05 01:31:58, 22.1, 52.4
2017-11-05 01:32:13, 22.1, 52.3
2017-11-05 01:32:28, 22.1, 52.3
2017-11-05 01:32:43, 22.1, 52.3
2017-11-05 01:32:59, 22.1, 52.3
2017-11-05 01:33:14, 22.1, 52.3
2017-11-05 01:33:29, 22.1, 52.3
2017-11-05 01:33:44, 22.1, 52.3
2017-11-05 01:33:59, 22.1, 52.3
2017-11-05 01:34:14, 22.1, 52.2
2017-11-05 01:34:30, 22.1, 52.2
2017-11-05 01:34:45, 22.1, 52.2
2017-11-05 01:35:00, 22.1, 52.2
2017-11-05 01:35:22, 22.1, 52.2
2017-11-05 01:35:37, 22.1, 52.2
2017-11-05 01:35:52, 22.1, 52.2
2017-11-05 01:36:07, 22.1, 52.2
2017-11-05 01:36:23, 22.1, 52.2
2017-11-05 01:36:38, 22.1, 52.2
2017-11-05 01:36:53, 22.1, 52.2
2017-11-05 01:37:08, 22.1, 52.1
2017-11-05 01:37:23, 22.1, 52.1
2017-11-05 01:37:39, 22.1, 52.1
2017-11-05 01:37:54, 22.1, 52.1
2017-11-05 01:38:09, 22.1, 52.1
2017-11-05 01:38:24, 22.1, 52.1
2017-11-05 01:38:39, 22.1, 52.1
2017-11-05 01:38:55, 22.1, 52.1
2017-11-05 01:39:10, 22.1, 52.1
